菠菜,1.3,1.5,1.7,鲁冀,斤,2021/5/29
,,,,,,
莴笋,1.2,1.4,1.6,闽浙鲁,斤,2021/5/29
,,,,,,
团生菜,0.8,0.9,1,毛|净,斤,2021/5/29
,,,,,,
圆白菜,0.3,0.4,0.5,冀,斤,2021/5/29
,,,,,,
紫甘蓝,0.7,0.8,0.9,闽云,斤,2021/5/29
,,,,,,
散叶生菜,1,1.4,1.8,京,斤,2021/5/29
,,,,,,
油菜,0.8,1,1.2,鲁京,斤,2021/5/29
,,,,,,
香菜,1,1.25,1.5,鲁冀,斤,2021/5/29
,,,,,,
茴香,1,1.25,1.5,冀,斤,2021/5/29
,,,,,,
红提葡萄,8,10,12,葡萄类,斤,2021/5/30
,,,,,,
玫瑰香葡萄,10,11.5,13,葡萄类,斤,2021/5/30
,,,,,,
克伦生,6,8,10,葡萄类,斤,2021/5/30
,,,,,,
黑提葡萄、夏黑,8,9,10,葡萄类,斤,2021/5/30
,,,,,,
蓝莓葡萄,8,9,10,葡萄类,斤,2021/5/30
,,,,,,
乒乓球葡萄,10,11,12,葡萄类,斤,2021/5/30
,,,,,,
维多利亚葡萄,4,5,6,葡萄类,斤,2021/5/30
,,,,,,
郁金香,10,11,12,葡萄类,斤,2021/5/30
,,,,,,
台农小芒果,2.5,3.25,4,芒果类,斤,2021/5/30
,,,,,,
台农大芒果,3,4,5,芒果类,斤,2021/5/30
,,,,,,
红金龙,4,5,6,芒果类,斤,2021/5/30
,,,,,,
高乐密,2.5,3.75,5,芒果类,斤,2021/5/30
,,,,,,
青皮芒果,2.5,3.25,4,芒果类,斤,2021/5/30
,,,,,,
水仙芒果,3.5,4.5,5.5,芒果类,斤,2021/5/30
,,,,,,
玉纹,4,5.5,7,芒果类,斤,2021/5/30
,,,,,,
肯特新世纪澳芒,4.5,6,7.5,芒果类,斤,2021/5/30
,,,,,,
妃子笑,5,6.5,8,荔枝类,斤,2021/5/30
,,,,,,
荔枝王,13,15.5,18,荔枝类,斤,2021/5/30
,,,,,,
桂味,4,4.5,5,荔枝类,斤,2021/5/30
,,,,,,
红灯,9,11,13,樱桃类,斤,2021/5/30
,,,,,,
水晶,12,15,18,樱桃类,斤,2021/5/30
,,,,,,
佳红,60,100,140,樱桃类,斤,2021/5/30
,,,,,,
美国红,10,10.5,11,樱桃类,斤,2021/5/30
,,,,,,
美早,10,25,40,樱桃类,斤,2021/5/30
,,,,,,
布鲁克斯,12,14,16,樱桃类,斤,2021/5/30
,,,,,,
